image_id,file_name,width,height,source_split
9,000000000009.jpg,640,480,train2017
25,000000000025.jpg,640,426,train2017
30,000000000030.jpg,640,428,train2017
34,000000000034.jpg,640,425,train2017
36,000000000036.jpg,481,640,train2017
42,000000000042.jpg,640,478,train2017
49,000000000049.jpg,381,500,train2017
61,000000000061.jpg,640,488,train2017
64,000000000064.jpg,480,640,train2017
71,000000000071.jpg,640,426,train2017
72,000000000072.jpg,427,640,train2017
73,000000000073.jpg,565,640,train2017
74,000000000074.jpg,640,426,train2017
77,000000000077.jpg,500,375,train2017
78,000000000078.jpg,612,612,train2017
81,000000000081.jpg,640,425,train2017
86,000000000086.jpg,512,640,train2017
89,000000000089.jpg,640,480,train2017
92,000000000092.jpg,640,427,train2017
94,000000000094.jpg,640,427,train2017
109,000000000109.jpg,640,416,train2017
110,000000000110.jpg,640,480,train2017
113,000000000113.jpg,416,640,train2017
127,000000000127.jpg,640,481,train2017
133,000000000133.jpg,640,480,train2017
136,000000000136.jpg,500,374,train2017
138,000000000138.jpg,640,573,train2017
142,000000000142.jpg,480,640,train2017
143,000000000143.jpg,600,500,train2017
144,000000000144.jpg,640,480,train2017
149,000000000149.jpg,640,428,train2017
151,000000000151.jpg,480,640,train2017
154,000000000154.jpg,427,640,train2017
164,000000000164.jpg,640,480,train2017
165,000000000165.jpg,640,536,train2017
192,000000000192.jpg,640,480,train2017
194,000000000194.jpg,640,480,train2017
196,000000000196.jpg,640,480,train2017
201,000000000201.jpg,640,428,train2017
208,000000000208.jpg,640,480,train2017
241,000000000241.jpg,480,640,train2017
247,000000000247.jpg,640,424,train2017
250,000000000250.jpg,640,480,train2017
257,000000000257.jpg,640,480,train2017
260,000000000260.jpg,500,333,train2017
263,000000000263.jpg,591,640,train2017
283,000000000283.jpg,428,640,train2017
294,000000000294.jpg,640,427,train2017
307,000000000307.jpg,640,480,train2017
308,000000000308.jpg,640,426,train2017
309,000000000309.jpg,600,600,train2017
312,000000000312.jpg,640,427,train2017
315,000000000315.jpg,640,427,train2017
321,000000000321.jpg,640,480,train2017
322,000000000322.jpg,640,481,train2017
