image_id,split
9,test
25,test
30,val
34,train
36,train
42,train
49,train
61,train
64,train
71,test
72,train
73,train
74,test
77,train
78,train
81,val
86,train
89,train
92,train
94,test
109,train
110,train
113,train
127,train
133,train
136,train
138,val
142,test
143,train
144,train
149,val
151,val
154,train
164,train
165,train
192,train
194,train
196,train
201,train
208,train
241,train
247,train
250,train
257,train
260,train
263,train
283,train
294,train
307,train
308,train
309,train
312,train
315,val
321,train
322,train
326,train
328,train
332,train
338,val
349,train
357,train
359,train
360,train
368,val
370,test
382,train
384,train
387,train
389,train
394,val
395,train
397,train
400,test
404,train
415,train
419,val
428,train
431,train
436,train
438,test
443,train
446,val
450,val
459,train
471,train
472,train
474,train
486,train
488,train
490,train
491,train
502,train
508,train
510,train
514,train
520,train
529,train
531,train
532,train
536,train
540,train
542,test
544,train
560,val
562,train
564,train
569,val
572,train
575,test
581,train
584,train
589,train
590,train
595,train
597,train
599,test
605,train
612,test
620,train
623,train
625,test
626,train
629,train
634,train
636,train
641,test
643,train
650,train
656,train
659,train
661,train
670,train
671,test
673,train
675,train
681,val
684,train
690,train
692,train
693,train
699,train
706,train
711,train
714,train
715,train
716,train
722,train
723,train
730,train
731,train
735,train
753,train
754,test
757,train
761,train
762,train
764,train
772,train
775,train
781,train
790,train
795,train
797,train
801,train
810,train
813,test
821,train
825,test
827,val
828,train
831,train
836,train
839,train
853,train
873,train
882,train
897,train
901,test
902,test
908,train
909,train
913,train
923,train
925,train
927,train
934,train
939,test
941,train
943,train
955,train
960,train
962,train
965,train
969,train
974,train
977,train
982,train
984,train
985,train
987,train
996,train
999,val
1006,train
1011,val
1014,train
1025,train
1029,train
1036,train
1053,train
1059,val
1063,train
1064,train
1072,train
1083,train
1084,train
1085,train
1089,train
1090,train
1098,test
1099,train
1102,train
1103,train
1107,train
1108,train
1111,train
1122,train
1138,test
1139,train
1144,val
1145,train
1146,train
1149,train
1153,train
1155,train
1164,train
1166,train
1168,val
1171,train
1176,train
1180,train
1183,val
1200,train
1204,train
1205,train
1213,train
1216,train
1224,val
1228,train
1232,train
1237,train
1238,train
1244,val
1261,train
1264,train
1270,train
1271,train
1282,train
1290,train
1292,test
1295,train
1298,train
1306,train
1307,train
1308,train
1311,train
1315,test
1319,train
1323,train
1330,train
1332,train
1340,test
1342,train
1347,val
1350,train
1355,train
1359,test
1360,train
1366,train
1369,train
1374,train
1375,train
1381,train
1386,train
1390,train
1392,train
1393,train
1397,train
1398,train
1401,test
1403,train
1404,test
1407,train
1408,test
1424,train
1431,test
1436,train
1442,train
1448,train
1451,test
1453,train
1455,train
1464,train
1472,train
1488,train
1496,train
1497,train
1501,train
1505,train
1507,train
1510,test
1515,train
1518,train
1522,val
1523,val
1525,train
1526,train
1527,test
1536,train
1548,test
1554,train
1558,train
1561,train
1562,test
1563,train
1569,train
1573,train
1577,train
1579,val
1580,train
1586,train
1589,train
1590,test
1591,test
1592,test
1596,train
1599,train
1611,train
1622,test
1625,train
1626,train
1637,train
1639,train
1645,train
1647,train
1655,test
1667,val
1668,test
1670,train
1674,train
1681,train
1682,train
1688,train
1697,train
1700,train
1706,train
1709,train
1712,train
1720,train
1722,val
1732,train
1737,train
1739,train
1756,train
1757,val
1762,val
1764,val
1771,train
1774,train
1777,train
1779,train
1781,test
1785,train
1786,train
1790,train
1792,test
1799,train
1803,train
1804,train
1810,val
1811,train
1813,train
1815,train
1822,train
1837,test
1840,train
1841,test
1852,train
1856,train
1864,val
1869,train
1875,train
1877,train
1888,train
1895,train
1900,train
1902,test
1903,train
1906,train
1907,train
1911,train
1912,train
1915,train
1924,train
1926,train
1941,train
1942,train
1943,train
1947,val
1948,test
1955,train
1958,train
1960,train
1966,train
1987,train
1994,train
1997,train
1999,train
2001,train
2007,train
2014,train
2024,train
2055,train
2056,train
2061,train
2066,train
2068,train
2072,train
2083,train
2089,train
2093,val
2106,val
2114,train
2124,train
2135,train
2139,train
2142,train
2148,train
2150,train
2154,train
2164,train
2171,train
2178,val
2179,val
2184,train
2191,train
2193,train
2197,train
2209,train
2211,train
2212,train
2217,train
2225,train
2229,train
2232,train
2235,test
2239,train
2240,train
2244,train
2255,train
2258,train
2270,train
2276,train
2278,train
2279,train
2280,train
2281,train
2283,val
2284,train
2290,train
2295,train
2296,train
2302,train
2309,train
2315,val
2337,train
2342,test
2346,train
2347,train
2349,train
2369,train
2372,train
2374,train
2377,train
2388,train
2389,val
2400,train
2402,train
2411,train
2415,train
2429,train
2434,train
2444,train
2445,val
2446,val
2448,train
2451,train
2453,train
2459,train
2466,val
2470,train
2471,test
2477,train
2495,train
2496,train
2498,train
2521,train
2525,train
2529,train
2531,train
2536,test
2543,test
2544,train
2545,train
2555,train
2559,train
2560,test
2562,train
2563,train
2567,train
2570,train
2575,train
2583,val
2585,train
2591,test
2602,train
2606,train
2608,train
2613,train
2614,train
2618,train
2619,train
2621,val
2623,train
2624,train
2639,train
2640,train
2644,train
2645,test
2658,train
2664,test
2672,train
2684,val
2686,val
2687,test
2690,val
2691,train
2693,train
2697,train
2703,train
2732,train
2742,train
2752,train
2753,train
2754,train
2755,train
2758,val
2759,train
2764,val
2770,train
2774,train
2776,train
2782,train
2822,val
2823,train
2833,train
2839,test
2842,train
2843,train
2849,train
2860,train
2867,train
2881,train
2886,train
2890,test
2892,train
2894,train
2896,val
2902,val
2907,train
2931,train
2951,test
2963,train
2964,train
2972,train
2982,train
2983,train
2985,train
2988,train
2989,train
2992,test
2998,train
3000,train
3001,val
3003,train
3008,train
3014,train
3035,train
3040,train
3048,train
3067,val
3076,train
3077,train
3080,train
3084,train
3091,test
3093,train
3103,test
3109,train
3118,train
3124,train
3125,train
3131,train
3134,train
3145,train
3148,train
3149,train
3157,train
3160,val
3178,train
3192,train
3197,train
3209,train
3217,train
3219,train
3220,train
3224,test
3225,train
3234,train
3236,train
3242,train
3244,train
3249,val
3259,train
3264,train
3270,train
3272,val
3276,train
3286,train
3293,val
3305,train
3310,train
3314,train
3320,train
3321,val
3325,train
3326,train
3335,train
3337,test
3342,train
3348,train
3353,train
3361,train
3365,train
3366,train
3375,train
3378,train
3382,val
3386,test
3389,train
3398,test
3412,train
3425,test
3432,train
3442,train
3457,train
3461,train
3464,test
3466,val
3474,test
3478,train
3480,train
3481,train
3483,train
3488,train
3493,test
3511,train
3514,train
3517,train
3518,train
3521,train
3528,train
3532,train
3535,train
3538,test
3579,train
3580,test
3590,train
3595,train
3602,val
3613,train
3623,train
3628,train
3637,val
3640,test
3668,train
3671,train
3682,train
3685,train
3690,val
3692,train
3693,train
3694,val
3703,train
3711,train
3713,train
3716,train
3729,train
3735,train
3737,val
3742,val
3745,train
3751,train
3761,test
3764,train
3770,train
3771,train
3779,train
3782,train
3786,train
3789,train
3793,train
3794,train
3799,train
3804,train
3812,val
3817,train
3823,train
3827,train
3830,train
3832,train
3837,train
3849,train
3860,train
3862,train
3865,train
3866,test
3867,train
3870,train
3877,train
3897,train
3899,train
3911,train
3915,test
3917,train
3920,train
3926,val
3932,train
3935,test
3938,train
3939,test
3941,test
3947,train
3964,train
3967,train
3982,train
3983,train
3988,train
3992,train
3995,val
3999,train
4011,train
4020,train
4021,train
4032,train
4038,test
4042,val
4051,train
4057,test
4065,train
4066,train
4068,train
4069,train
4079,train
4080,train
4092,train
4093,train
4108,test
4125,train
4129,train
4130,train
4131,train
4132,train
4138,train
4139,train
4140,train
4157,train
4159,train
4172,train
4173,train
4175,train
4180,train
4187,train
4189,train
4201,train
4208,train
4211,train
4212,train
4219,train
4227,train
4229,train
4239,train
4243,test
4244,train
4245,test
4246,train
4256,train
4259,train
4260,train
4265,val
4266,test
4275,val
4278,train
4282,val
4283,train
4286,test
4289,train
4296,train
4308,train
4309,train
4312,train
4318,test
4319,train
4322,train
4331,train
4338,test
4355,train
4359,test
4360,train
4375,train
4376,train
4377,train
4385,test
4386,train
4392,train
4394,train
4396,val
4404,train
4410,train
4415,val
4421,train
4424,val
4426,train
4428,train
4438,train
4441,train
4442,val
4444,train
4462,train
4463,train
4471,train
4477,train
4478,train
4481,train
4488,train
4489,train
4490,train
4497,train
4498,test
4502,test
4508,train
4509,train
4517,train
4527,test
4535,val
4537,train
4546,train
4549,train
4551,train
4554,train
4555,train
4567,train
4571,train
4574,train
4575,train
4576,val
4578,train
4579,train
4587,train
4592,val
4595,train
4608,train
4616,train
4620,train
4622,train
4624,train
4642,train
4647,train
4662,train
4665,train
4673,val
4678,test
4684,train
4688,train
4694,test
4700,train
4702,train
4704,train
4705,train
4706,train
4711,train
4714,train
4716,train
4719,train
4731,train
4736,train
4739,train
4741,train
4742,val
4749,train
4754,test
4760,train
4761,train
4762,train
4764,train
